date,home_team,score,away_team
26-02-2022,Vallecano,0 - 1,Real Madrid
05-03-2022,Real Madrid,4 - 1,Sociedad
14-03-2022,Mallorca,0 - 3,Real Madrid
20-03-2022,Real Madrid,0 - 4,Barcelona
02-04-2022,Celta,1 - 2,Real Madrid
09-04-2022,Real Madrid,2 - 0,Getafe
17-04-2022,Sevilla,2 - 3,Real Madrid
20-04-2022,Osasuna,1 - 3,Real Madrid
30-04-2022,Real Madrid,4 - 0,Espanol
08-05-2022,Ath Madrid,1 - 0,Real Madrid
12-05-2022,Real Madrid,6 - 0,Levante
15-05-2022,Cadiz,1 - 1,Real Madrid
20-05-2022,Real Madrid,0 - 0,Betis
15-08-2021,Sevilla,3 - 0,Vallecano
23-08-2021,Getafe,0 - 1,Sevilla
28-08-2021,Elche,1 - 1,Sevilla
19-09-2021,Sociedad,0 - 0,Sevilla
22-09-2021,Sevilla,3 - 1,Valencia
25-09-2021,Sevilla,2 - 0,Espanol
03-10-2021,Granada,1 - 0,Sevilla
